Año,Mes,Municipio,Departamento,Presunto Responsable,Total de Víctimas del Caso,Latitud,Longitud
2005,08,QUIBDO,CHOCO,GUERRILLA,1,5.875259563,-76.58360936
2014,07,ISNOS,HUILA,GRUPO POSDESMOVILIZACIÓN,1,1.945591321,-76.18204722
2006,12,SAN AGUSTIN,HUILA,GUERRILLA,1,1.924165493,-76.4165655
1975,06,RIOHACHA,LA GUAJIRA,GRUPO ARMADO NO IDENTIFICADO,1,11.24297214,-72.95876315
2005,09,SITIONUEVO,MAGDALENA,GRUPO PARAMILITAR,1,10.89027616,-74.62966038
2000,10,GRANADA,META,GRUPO PARAMILITAR,1,3.441051399,-73.7611547
2000,12,CONVENCION,NORTE DE SANTANDER,GRUPO ARMADO NO IDENTIFICADO,1,8.873159895,-73.20007769
2006,02,OCAÑA,NORTE DE SANTANDER,AGENTE DEL ESTADO,1,8.247588,-73.355889
2001,10,RAGONVALIA,NORTE DE SANTANDER,GRUPO PARAMILITAR,1,7.595355974,-72.50756622
1998,03,TEORAMA,NORTE DE SANTANDER,GUERRILLA,2,8.760013794,-73.15714097
1982,07,BARRANCABERMEJA,SANTANDER,GRUPO PARAMILITAR,1,7.054074558,-73.78211646
1985,06,BARRANCABERMEJA,SANTANDER,GRUPO ARMADO NO IDENTIFICADO,1,7.054074558,-73.78211646
2000,01,RIONEGRO,SANTANDER,GRUPO ARMADO NO IDENTIFICADO,2,7.474226085,-73.37246417
1989,11,RIONEGRO,SANTANDER,GUERRILLA,1,7.474226085,-73.37246417
2000,03,RIONEGRO,SANTANDER,GRUPO ARMADO NO IDENTIFICADO,1,7.474226085,-73.37246417
1992,07,SAN VICENTE DE CHUCURI,SANTANDER,GUERRILLA,1,6.894292346,-73.53900334
1999,07,PUERTO RICO,CAQUETA,GUERRILLA,24,2.018940891,-75.07308627
2004,06,BUENAVENTURA,VALLE DEL CAUCA,GRUPO PARAMILITAR,1,3.875708,-77.01074
2014,01,FRONTERA VENEZUELA,EXTERIOR,GUERRILLA,1,9.1,-72.73
2003,11,FORTUL,ARAUCA,GUERRILLA,1,6.750907234,-71.79124241
2014,04,SARAVENA,ARAUCA,GUERRILLA,1,6.906941714,-71.85070757
1999,01,TAME,ARAUCA,GUERRILLA,1,6.390650479,-71.79178647
2002,05,MOCOA,PUTUMAYO,GRUPO ARMADO NO IDENTIFICADO,2,1.26070915,-76.66584349
1999,02,EL COPEY,CESAR,GUERRILLA,1,10.19995356,-73.91282064
1989,00,OCAÑA,NORTE DE SANTANDER,GRUPO PARAMILITAR,3,8.247588,-73.355889
1995,10,TEORAMA,NORTE DE SANTANDER,GUERRILLA,1,8.553905437,-73.23675376
2000,02,TIBU,NORTE DE SANTANDER,GRUPO PARAMILITAR,1,8.998278492,-72.89972106
2001,02,COCORNA,ANTIOQUIA,GUERRILLA,1,6.005593074,-75.16015403
1995,04,MIRAFLORES,GUAVIARE,GUERRILLA,1,1.363974932,-72.01810951
2005,02,SAN CARLOS,ANTIOQUIA,GRUPO PARAMILITAR,1,6.188449,-74.987831
1988,11,RIONEGRO,ANTIOQUIA,GRUPO PARAMILITAR,1,6.150785807,-75.41076052
1990,01,SABANA DE TORRES,SANTANDER,GRUPO ARMADO NO IDENTIFICADO,1,7.4065422,-73.57131807
1990,05,SINCELEJO,SUCRE,GRUPO ARMADO NO IDENTIFICADO,1,9.316673928,-75.43174967
1994,01,PUERTO BOYACA,BOYACA,GRUPO PARAMILITAR,2,5.953466654,-74.4528581
1993,01,BUCARAMANGA,SANTANDER,GUERRILLA,1,7.116381,-73.132582
1996,02,LA MACARENA,META,GUERRILLA,5,2.177143,-73.78661
1996,04,MIRANDA,CAUCA,GUERRILLA,1,3.228235212,-76.21670827
1996,03,CARTAGENA DEL CHAIRA,CAQUETA,GUERRILLA,1,0.647693081,-74.27235499
1998,08,SAN FRANCISCO,ANTIOQUIA,GRUPO PARAMILITAR,6,5.840093731,-74.98176334
2001,06,EL COLEGIO,CUNDINAMARCA,GUERRILLA,1,4.556947085,-74.42658478
2002,04,ISTMINA,CHOCO,GRUPO PARAMILITAR,1,5.153946,-76.68518
2002,04,MAPIRIPAN,META,AGENTE DEL ESTADO,1,2.896617,-72.135509
2002,07,EL CARMEN DE VIBORAL,ANTIOQUIA,GRUPO PARAMILITAR,2,5.978078841,-75.2635361
2002,08,AGUACHICA,CESAR,GRUPO PARAMILITAR,1,8.248735219,-73.6227405
2003,12,OCAÑA,NORTE DE SANTANDER,GRUPO ARMADO NO IDENTIFICADO,1,8.206637527,-73.33765033
2003,07,LERIDA,TOLIMA,GRUPO PARAMILITAR,1,4.866034592,-74.92337178
2005,01,ANSERMA,CALDAS,GUERRILLA,1,5.236474391,-75.78434266
2004,01,MAICAO,LA GUAJIRA,GRUPO PARAMILITAR,1,11.38157764,-72.29500818
2004,02,CASABIANCA,TOLIMA,GUERRILLA,1,5.007003948,-75.19457703
2005,12,GRANADA,META,GUERRILLA,1,3.441051399,-73.7611547
2000,01,FLORENCIA,CAQUETA,GRUPO PARAMILITAR,1,1.618234,-75.609796
2005,06,ANSERMA,CALDAS,GUERRILLA,1,5.20029922,-75.75289078
2002,06,PRADO,TOLIMA,GRUPO ARMADO NO IDENTIFICADO,1,3.729166649,-74.87247706
2002,04,SANTIAGO DE CALI,VALLE DEL CAUCA,GUERRILLA,12,3.399043723,-76.57649259
2011,05,CUCUTA,NORTE DE SANTANDER,GUERRILLA,1,8.112041811,-72.48862641
1985,07,RIOFRIO,VALLE DEL CAUCA,GUERRILLA,1,4.109500298,-76.37105443
1986,10,"BOGOTA, D.C.","BOGOTA, D. C.",GUERRILLA,1,4.316107698,-74.1810727
1978,03,"BOGOTA, D.C.","BOGOTA, D. C.",GUERRILLA,1,4.316107698,-74.1810727
1982,02,"BOGOTA, D.C.","BOGOTA, D. C.",GUERRILLA,1,4.316107698,-74.1810727
1985,06,ROLDANILLO,VALLE DEL CAUCA,GUERRILLA,1,4.443571848,-76.16824249
1983,11,YUMBO,VALLE DEL CAUCA,GUERRILLA,2,3.595913669,-76.5109879
1985,07,RIOFRIO,VALLE DEL CAUCA,GUERRILLA,1,4.109500298,-76.37105443
1996,05,SIN INFORMACION,VALLE DEL CAUCA,GUERRILLA,1,4.969628406,-72
1975,08,"BOGOTA, D.C.","BOGOTA, D. C.",GUERRILLA,1,4.650173,-74.107359
1977,08,"BOGOTA, D.C.","BOGOTA, D. C.",GUERRILLA,1,4.316107698,-74.1810727
1980,01,LA MONTAÑITA,CAQUETA,GUERRILLA,1,1.302860442,-75.23572732
1980,04,"BOGOTA, D.C.","BOGOTA, D. C.",GUERRILLA,1,4.316107698,-74.1810727
1980,06,GARAGOA,BOYACA,GUERRILLA,1,5.089466651,-73.31430272
1981,01,PUERTO RICO,CAQUETA,GUERRILLA,1,2.018940891,-75.07308627
1981,02,"BOGOTA, D.C.","BOGOTA, D. C.",GUERRILLA,1,4.316107698,-74.1810727
1981,02,"BOGOTA, D.C.","BOGOTA, D. C.",GUERRILLA,1,4.316107698,-74.1810727
1981,02,"BOGOTA, D.C.","BOGOTA, D. C.",GUERRILLA,1,4.316107698,-74.1810727
1981,02,"BOGOTA, D.C.","BOGOTA, D. C.",GUERRILLA,1,4.316107698,-74.1810727
1981,03,FLORENCIA,CAQUETA,GUERRILLA,1,1.749138704,-75.55823906
1981,03,MOCOA,PUTUMAYO,GUERRILLA,1,1.26070915,-76.66584349
1981,03,MOCOA,PUTUMAYO,GUERRILLA,1,1.26070915,-76.66584349
1981,03,MOCOA,PUTUMAYO,GUERRILLA,1,1.26070915,-76.66584349
1981,03,SILVIA,CAUCA,GUERRILLA,1,2.651291894,-76.35057356
1981,04,SAN VICENTE DEL CAGUAN,CAQUETA,GUERRILLA,1,1.308465061,-74.19746971
1981,04,ESPINAL,TOLIMA,GUERRILLA,1,4.166476969,-74.89352941
1981,05,"BOGOTA, D.C.","BOGOTA, D. C.",GUERRILLA,1,4.316107698,-74.1810727
1981,06,YUMBO,VALLE DEL CAUCA,GUERRILLA,1,3.595913669,-76.5109879
1981,07,FLORENCIA,CAQUETA,GUERRILLA,1,1.749138704,-75.55823906
1981,07,"BOGOTA, D.C.","BOGOTA, D. C.",GUERRILLA,2,4.316107698,-74.1810727
1981,07,"BOGOTA, D.C.","BOGOTA, D. C.",GUERRILLA,1,4.316107698,-74.1810727
1981,08,ALBANIA,CAQUETA,GUERRILLA,1,1.22786549,-75.88232651
1981,10,PUERTO ASIS,PUTUMAYO,GUERRILLA,1,0.433884539,-76.52158203
1981,11,MEDELLIN,ANTIOQUIA,GUERRILLA,1,6.257590259,-75.61103107
1981,11,MORELIA,CAQUETA,GUERRILLA,1,1.38299611,-75.67381123
1981,11,GARZON,HUILA,GUERRILLA,1,2.172441496,-75.57131243
1981,11,ALBANIA,CAQUETA,GUERRILLA,1,1.22786549,-75.88232651
1982,01,FLORENCIA,CAQUETA,GUERRILLA,1,1.749138704,-75.55823906
1982,01,FLORENCIA,CAQUETA,GUERRILLA,1,1.749138704,-75.55823906
1982,03,MORELIA,CAQUETA,GUERRILLA,1,1.38299611,-75.67381123
1982,03,FLORENCIA,CAQUETA,GUERRILLA,1,1.749138704,-75.55823906
1982,04,ANSERMANUEVO,VALLE DEL CAUCA,GUERRILLA,1,4.795927292,-76.02963049
1982,05,MOCOA,PUTUMAYO,GUERRILLA,1,1.26070915,-76.66584349
1982,05,LA MONTAÑITA,CAQUETA,GUERRILLA,1,1.302860442,-75.23572732
1982,05,BARRANQUILLA,ATLANTICO,GUERRILLA,1,10.98152051,-74.82771544
1982,05,BARRANQUILLA,ATLANTICO,GUERRILLA,3,10.98152051,-74.82771544
1982,07,SANTIAGO DE CALI,VALLE DEL CAUCA,GUERRILLA,1,3.399043723,-76.57649259
1982,08,GARZON,HUILA,GUERRILLA,1,2.172441496,-75.57131243
1982,08,"BOGOTA, D.C.","BOGOTA, D. C.",GUERRILLA,1,4.316107698,-74.1810727
1982,09,MORELIA,CAQUETA,GUERRILLA,1,1.38299611,-75.67381123
1982,10,SANTIAGO DE CALI,VALLE DEL CAUCA,GUERRILLA,1,3.399043723,-76.57649259
1982,10,SANTIAGO DE CALI,VALLE DEL CAUCA,GUERRILLA,1,3.399043723,-76.57649259
1982,10,BUCARAMANGA,SANTANDER,GUERRILLA,1,7.155833544,-73.11156997
1982,10,BUCARAMANGA,SANTANDER,GUERRILLA,1,7.155833544,-73.11156997
1983,01,SAN JOSE DEL GUAVIARE,GUAVIARE,GUERRILLA,1,2.484286091,-71.91916993
1983,04,"BOGOTA, D.C.","BOGOTA, D. C.",GUERRILLA,1,4.316107698,-74.1810727
1983,04,POPAYAN,CAUCA,GUERRILLA,1,2.471704362,-76.59194419
1983,04,EL ZULIA,NORTE DE SANTANDER,GUERRILLA,1,8.081200092,-72.63152118
1983,05,MARINILLA,ANTIOQUIA,GUERRILLA,1,6.18520515,-75.30487933
1983,05,MARINILLA,ANTIOQUIA,GUERRILLA,1,6.18520515,-75.30487933
1983,05,MARINILLA,ANTIOQUIA,GUERRILLA,1,6.18520515,-75.30487933
1983,05,MARINILLA,ANTIOQUIA,GUERRILLA,1,6.18520515,-75.30487933
1983,05,CARTAGO,VALLE DEL CAUCA,GUERRILLA,1,4.70684716,-75.91790846
1983,06,TAME,ARAUCA,GUERRILLA,1,6.390650479,-71.79178647
1984,01,FLORENCIA,CAQUETA,GUERRILLA,1,1.749138704,-75.55823906
1984,01,FLORENCIA,CAQUETA,GUERRILLA,1,1.749138704,-75.55823906
1984,03,TORIBIO,CAUCA,GUERRILLA,1,2.975771999,-76.20331566
1984,04,FLORENCIA,CAQUETA,GUERRILLA,1,1.749138704,-75.55823906
1984,04,SUAZA,HUILA,GUERRILLA,1,1.870992095,-75.80798471
1984,05,SANTIAGO DE CALI,VALLE DEL CAUCA,GUERRILLA,1,3.399043723,-76.57649259
1984,06,YUMBO,VALLE DEL CAUCA,GUERRILLA,1,3.595913669,-76.5109879
1984,07,VILLAVICENCIO,META,GUERRILLA,1,4.09166877,-73.49291595
1984,07,PITALITO,HUILA,GUERRILLA,1,1.848217185,-76.05217643
1984,08,MIRANDA,CAUCA,GUERRILLA,1,3.228235212,-76.21670827
1984,09,CORINTO,CAUCA,GUERRILLA,1,3.136753606,-76.20964569
1984,12,GARZON,HUILA,GUERRILLA,1,2.172441496,-75.57131243
1985,01,SANTANDER DE QUILICHAO,CAUCA,GUERRILLA,1,2.984467338,-76.49873145
1985,04,SIN INFORMACION,HUILA,GUERRILLA,1,4,-72
1985,05,ALPUJARRA,TOLIMA,GUERRILLA,1,3.390015064,-74.94078233
1985,06,"BOGOTA, D.C.","BOGOTA, D. C.",GUERRILLA,1,4.316107698,-74.1810727
1985,07,BELALCAZAR,CALDAS,GUERRILLA,1,4.99467728,-75.81225989
1985,07,BELALCAZAR,CALDAS,GUERRILLA,1,4.99467728,-75.81225989
1985,09,"BOGOTA, D.C.","BOGOTA, D. C.",GUERRILLA,1,4.316107698,-74.1810727
1985,09,CORINTO,CAUCA,GUERRILLA,1,3.136753606,-76.20964569
1985,10,RIOBLANCO,TOLIMA,GUERRILLA,1,3.468077548,-75.85481103
1985,10,RIOBLANCO,TOLIMA,GUERRILLA,5,3.468077548,-75.85481103
1985,10,RIOBLANCO,TOLIMA,GUERRILLA,1,3.468077548,-75.85481103
1985,10,RIOBLANCO,TOLIMA,GUERRILLA,1,3.468077548,-75.85481103
1985,10,PAEZ,CAUCA,GUERRILLA,1,2.733887702,-75.99368264
1985,10,PAEZ,CAUCA,GUERRILLA,1,2.733887702,-75.99368264
1985,12,SAN VICENTE FERRER,ANTIOQUIA,GUERRILLA,1,6.310387522,-75.32740163
1986,01,SILVIA,CAUCA,GUERRILLA,1,2.651291894,-76.35057356
1986,01,SILVIA,CAUCA,GUERRILLA,1,2.651291894,-76.35057356
1986,01,SILVIA,CAUCA,GUERRILLA,1,2.651291894,-76.35057356
1986,02,SANTIAGO DE CALI,VALLE DEL CAUCA,GUERRILLA,1,3.399043723,-76.57649259
1986,02,BUENOS AIRES,CAUCA,GUERRILLA,1,2.988923885,-76.62158951
1986,04,SANTUARIO,RISARALDA,GUERRILLA,1,5.076100313,-76.02286946
1986,05,"BOGOTA, D.C.","BOGOTA, D. C.",GUERRILLA,1,4.316107698,-74.1810727
1986,06,UNGUIA,CHOCO,GUERRILLA,1,8.117281079,-77.10372723
1986,08,SAN PEDRO DE URABA,ANTIOQUIA,GUERRILLA,1,8.37915695,-76.31664233
1986,08,BELMIRA,ANTIOQUIA,GUERRILLA,2,6.665853953,-75.68621659
1986,10,PAEZ,CAUCA,GUERRILLA,1,2.733887702,-75.99368264
1986,12,"BOGOTA, D.C.","BOGOTA, D. C.",GUERRILLA,1,4.316107698,-74.1810727
1986,12,NEIVA,HUILA,GUERRILLA,1,2.993360046,-75.27236232
1987,01,GINEBRA,VALLE DEL CAUCA,GUERRILLA,1,3.74410441,-76.19082004
1987,05,NATAGAIMA,TOLIMA,GUERRILLA,1,3.540518203,-75.12200999
1987,07,NATAGAIMA,TOLIMA,GUERRILLA,1,3.540518203,-75.12200999
1988,02,"BOGOTA, D.C.","BOGOTA, D. C.",GUERRILLA,1,4.316107698,-74.1810727
1988,02,"BOGOTA, D.C.","BOGOTA, D. C.",GUERRILLA,1,4.316107698,-74.1810727
1988,03,PUERTO WILCHES,SANTANDER,GUERRILLA,1,7.398198257,-73.8354696
1988,04,IBAGUE,TOLIMA,GUERRILLA,1,4.451921427,-75.252591
1988,05,FACATATIVA,CUNDINAMARCA,GUERRILLA,1,4.834052334,-74.3380229
1988,05,"BOGOTA, D.C.","BOGOTA, D. C.",GUERRILLA,1,4.650173,-74.107359
1988,05,SUAZA,HUILA,GUERRILLA,1,1.870992095,-75.80798471
1988,06,JAMUNDI,VALLE DEL CAUCA,GUERRILLA,1,3.213892389,-76.62760418
1988,06,CORINTO,CAUCA,GUERRILLA,1,3.136753606,-76.20964569
1988,06,CORINTO,CAUCA,GUERRILLA,1,3.136753606,-76.20964569
1988,06,CORINTO,CAUCA,GUERRILLA,1,3.136753606,-76.20964569
1988,07,ALBANIA,CAQUETA,GUERRILLA,1,1.22786549,-75.88232651
1988,07,BELEN DE LOS ANDAQUIES,CAQUETA,GUERRILLA,1,1.536174657,-75.90947504
1988,07,POPAYAN,CAUCA,GUERRILLA,1,2.471704362,-76.59194419
1988,07,CALOTO,CAUCA,GUERRILLA,1,3.062875557,-76.32127977
1988,07,GUADALUPE,HUILA,GUERRILLA,1,1.984394016,-75.69693549
1988,07,GUADALUPE,HUILA,GUERRILLA,1,1.984394016,-75.69693549
1988,09,ROSAS,CAUCA,GUERRILLA,1,2.260421954,-76.74582033
1988,09,IBAGUE,TOLIMA,GUERRILLA,1,4.451921427,-75.252591
1988,09,IBAGUE,TOLIMA,GUERRILLA,1,4.451921427,-75.252591
1988,09,MORELIA,CAQUETA,GUERRILLA,4,1.38299611,-75.67381123
1988,11,SANTIAGO DE CALI,VALLE DEL CAUCA,GUERRILLA,1,3.399043723,-76.57649259
1988,11,CORINTO,CAUCA,GUERRILLA,1,3.136753606,-76.20964569
1988,11,FLORENCIA,CAQUETA,GUERRILLA,1,1.749138704,-75.55823906
1989,00,CHIMICHAGUA,CESAR,GUERRILLA,1,9.27797765,-73.84697903
1989,01,FLORENCIA,CAQUETA,GUERRILLA,1,1.749138704,-75.55823906
1989,01,PRADERA,VALLE DEL CAUCA,GUERRILLA,1,3.42063665,-76.17841841
1989,01,ACEVEDO,HUILA,GUERRILLA,1,1.709114446,-75.99664184
1989,01,CALDONO,CAUCA,GUERRILLA,1,2.803845691,-76.42719377
1989,01,CALDONO,CAUCA,GUERRILLA,1,2.803845691,-76.42719377
1989,01,CALDONO,CAUCA,GUERRILLA,1,2.803845691,-76.42719377
1989,02,SAN JOSE DEL FRAGUA,CAQUETA,GUERRILLA,1,1.304702314,-76.11000594
1989,02,ACEVEDO,HUILA,GUERRILLA,1,1.709114446,-75.99664184
1989,02,PRADERA,VALLE DEL CAUCA,GUERRILLA,1,3.42063665,-76.17841841
1989,02,TIMANA,HUILA,GUERRILLA,1,1.950715226,-75.91757649
1989,03,SALDAÑA,TOLIMA,GUERRILLA,1,3.912542787,-75.01859762
1989,04,SANTANDER DE QUILICHAO,CAUCA,GUERRILLA,1,2.984467338,-76.49873145
1989,05,BELEN DE LOS ANDAQUIES,CAQUETA,GUERRILLA,1,1.536174657,-75.90947504
1989,05,SAN JOSE DEL FRAGUA,CAQUETA,GUERRILLA,1,1.304702314,-76.11000594
1989,06,PITALITO,HUILA,GUERRILLA,1,1.848217185,-76.05217643
1989,07,MEDELLIN,ANTIOQUIA,GUERRILLA,1,6.257590259,-75.61103107
1989,07,PEREIRA,RISARALDA,GUERRILLA,1,4.803662773,-75.79579093
1989,10,PURACE,CAUCA,GUERRILLA,1,2.262153618,-76.44826938
1989,10,CAJAMARCA,TOLIMA,GUERRILLA,1,4.406971283,-75.49745918
1989,10,ALVARADO,TOLIMA,GUERRILLA,1,4.582625784,-74.98630686
1989,10,GUAMO,TOLIMA,GUERRILLA,1,4.076501341,-74.97657287
1989,12,POPAYAN,CAUCA,GUERRILLA,1,2.471704362,-76.59194419
1990,01,CALOTO,CAUCA,GUERRILLA,1,3.062875557,-76.32127977
1990,02,GUADALUPE,HUILA,GUERRILLA,1,1.984394016,-75.69693549
1990,12,TIMANA,HUILA,GUERRILLA,1,1.950715226,-75.91757649
1991,01,PITALITO,HUILA,GUERRILLA,1,1.848217185,-76.05217643
1991,02,TARQUI,HUILA,GUERRILLA,1,2.130280544,-75.87534845
1991,03,CUCUTA,NORTE DE SANTANDER,GUERRILLA,1,8.112041811,-72.48862641
1991,03,QUINCHIA,RISARALDA,GUERRILLA,1,5.323906864,-75.71339683
